1 	 768.3585089 	 1.980845965 	 0.0202 	 0.0017
2 	 1318.072427 	 2.936584552 	 0.18 	 0.004
3 	 1642.704188 	 0.4335794324 	 0.401 	 0.0025
4 	 1658.526642 	 4.868616315 	 0.008 	 0.002
5 	 1694.243504 	 1.980845965 	 0.0329 	 0.0022
6 	 1751.444776 	 1.980845965 	 0.015 	 0.0007
7 	 1785.067489 	 1.977426453 	 0.453 	 0.0008
8 	 2021.938926 	 4.86444434 	 0.0043 	 0.0007
9 	 2096.300579 	 0.4335794327 	 2.59 	 0.13
10 	 2360.454114 	 5.834632519 	 0.0158 	 0.0012
11 	 2367.085584 	 1.980845965 	 0.0012 	 0.0003
12 	 2480.20837 	 1.977426453 	 0.348 	 0.0006
13 	 2708.354189 	 2.936584552 	 0.0069 	 0.0012
14 	 2742.946416 	 1.977426453 	 0.043 	 0.0031
15 	 2808.214037 	 9.703581306 	 0.00141 	 0.0014
16 	 2883.836057 	 1.980845965 	 0.046 	 0.001
17 	 2931.031954 	 1.977426453 	 0.089 	 0.0016
18 	 2950.73246 	 1.980845965 	 0.04 	 0.0004
19 	 3004.210801 	 5.834632519 	 0.0007 	 0.0002
20 	 3063.195977 	 3.899130437 	 0.037 	 0.0033
21 	 3171.859004 	 0.6207912735 	 31.0 	 1.4
22 	 3351.800632 	 2.934279038 	 0.33 	 0.17
23 	 3460.696342 	 2.936584552 	 0.23 	 0.18
24 	 3512.080535 	 2.936584552 	 0.011 	 0.004
25 	 3563.464729 	 4.86444434 	 0.054 	 0.046
26 	 3856.916949 	 1.977426453 	 0.733 	 0.029
27 	 3927.032135 	 4.86444434 	 0.014 	 0.006
28 	 4209.160442 	 4.86444434 	 0.012 	 0.005
29 	 4320.654447 	 7.766665171 	 0.0047 	 0.0033
30 	 4468.989949 	 5.831151734 	 0.0037 	 0.0006
31 	 4504.861933 	 5.831151734 	 0.011 	 0.007
32 	 4716.875054 	 4.863052887 	 0.00079 	 0.0001
33 	 4859.393477 	 5.829991011 	 0.016 	 0.004
34 	 4920.783045 	 5.831151734 	 0.00066 	 0.00016
35 	 5014.51557 	 3.897394361 	 0.26 	 0.04
36 	 5102.741261 	 3.897394361 	 0.072 	 0.019
37 	 5225.869423 	 3.897394361 	 0.036 	 0.01
38 	 5321.851218 	 4.863052887 	 0.0239 	 0.002
39 	 5623.369787 	 2.934279038 	 0.154 	 0.033
40 	 5726.138174 	 4.863052887 	 0.108 	 0.032
41 	 5855.083414 	 5.829991011 	 0.012 	 0.005
42 	 6023.77869 	 5.829991011 	 0.001 	 0.00015
43 	 6089.70558 	 4.863052887 	 0.0147 	 0.0024
44 	 6336.931416 	 7.765793747 	 0.0028 	 0.0022
45 	 6386.376583 	 9.70288384 	 0.00027 	 8e-05
46 	 6483.327892 	 7.765793747 	 0.01 	 0.004
47 	 6631.663394 	 5.829991011 	 0.00173 	 0.00026
48 	 6667.535378 	 5.829991011 	 0.00049 	 0.0001
49 	 6705.346388 	 8.734231394 	 0.00102 	 0.0002
